country_txt,attack_count,average_gdp,log_average_gdp,log_attack_count
Afghanistan,18796,12970494009.445126,23.285942923172783,9.841399360222706
Albania,17,10582304691.624018,23.082449074401094,2.833213344056216
Algeria,1360,154636266675.7514,25.764341529520348,7.215239978730097
Angola,81,66472699312.47787,24.92005716366051,4.394449154672439
Argentina,35,385169838652.51715,26.676950213318023,3.5553480614894135
Armenia,12,8461419130.923126,22.85878274246876,2.4849066497880004
Australia,52,1035244605829.7405,27.66565884885838,3.9512437185814275
Austria,23,365911298816.2626,26.62565678801452,3.1354942159291497
Azerbaijan,19,38158360785.73793,24.36501072625526,2.9444389791664403
Bahamas,1,10372909523.809525,23.062463391079987,0.0
Bahrain,169,24654919110.94225,23.928242275779247,5.1298987149230735
Bangladesh,1174,152528806092.1306,25.750619307563365,7.068172000388042
Belarus,11,47069705445.838486,24.574895434550175,2.3978952727983707
Belgium,32,442339677647.2223,26.815343925342365,3.4657359027997265
Belize,2,1782815545.803548,21.30145971887949,0.6931471805599453
Benin,3,9601923800.492588,22.985229311228274,1.0986122886681098
Bhutan,6,1570435032.9755986,21.174618508991248,1.791759469228055
Bolivia,21,22192940345.28526,23.82304007278651,3.044522437723423
Bosnia-Herzegovina,35,15055744686.959618,23.435025462084525,3.5553480614894135
Brazil,48,1564705320846.2583,28.078718628802267,3.871201010907891
Bulgaria,19,45324932525.000336,24.53712310489345,2.9444389791664403
Burkina Faso,392,9988275798.724527,23.024677821990768,5.971261839790462
Burundi,388,1882700596.2942135,21.355973070417797,5.961005339623274
Cambodia,21,12986356701.490072,23.287165158812716,3.044522437723423
Cameroon,860,27126613409.22227,24.02378112756246,6.756932389247553
Canada,83,1419301722124.359,27.981186121612655,4.418840607796598
Central African Republic,373,1755227549.941257,21.285864343545544,5.921578419643816
Chad,114,8623566305.280651,22.877764560572142,4.736198448394496
Chile,229,193552245692.8947,25.98881331655269,5.43372200355424
China,187,6933636673060.658,29.567405563932876,5.231108616854587
Colombia,2712,241309654223.1898,26.209346817990436,7.905441649060286
Comoros,3,865858871.7379199,20.579232487585763,1.0986122886681098
Costa Rica,3,38585557879.34433,24.37614389520278,1.0986122886681098
Croatia,12,51130930611.630005,24.657655446765116,2.4849066497880004
Cuba,1,65483338101.04447,24.905061567090776,0.0
Cyprus,23,21256577096.970955,23.779932194874053,3.1354942159291497
Czech Republic,21,179931973174.97748,25.915844689598607,3.044522437723423
Democratic Republic of the Congo,1490,25833949366.31657,23.974955330791342,7.306531398939505
Denmark,12,295912884942.1384,26.413330940325572,2.4849066497880004
Djibouti,4,1539753049.0139575,21.15488788273012,1.3862943611198906
Dominica,1,459482892.4162258,19.945612268199085,0.0
Dominican Republic,2,53210461028.317894,24.697520849834348,0.6931471805599453
